slug,name,symbol,category,tvl,chains,has_audit_strict,has_contest,has_security_review_broad,num_audits_strict,num_contests,audit_event_count_strict,contest_event_count,security_review_event_count_total,last_audit_date_strict,last_contest_date,last_security_review_date,audit_recency_years_strict,audit_firm_count,any_top_firm,audit_firm_tier,audit_score,strict_sources_seen,contest_sources_seen,all_sources_seen,audit_firms_strict
exponent,Exponent,-,Yield,103037119.62096044,Solana,0,1,1,0,8,0,8,8,,2025-10-21 19:06:44+00:00,2025-10-21 19:06:44+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
fei-protocol,Fei Protocol,TRIBE,Algo-Stables,9.262121556432366,Ethereum,0,1,1,0,9,0,9,9,,2021-11-22 20:08:53+00:00,2021-11-22 20:08:53+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
fiat-dao,FIAT DAO,FDT,Yield,119429.88748359568,Ethereum,0,1,1,0,8,0,8,8,,2022-08-09 17:31:02+00:00,2022-08-09 17:31:02+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
fin,FIN,-,Dexs,240485.93520108025,Kujira,0,1,1,0,68,0,68,68,,2025-11-04 10:22:36+00:00,2025-11-04 10:22:36+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
flare,Flare,FLR,Chain,,,0,1,1,0,8,0,8,8,,2025-10-23 14:39:50+00:00,2025-10-23 14:39:50+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
flex-perpetuals,Flex Perpetuals,FDX,Derivatives,841078.0094864856,Base,0,1,1,0,4,0,4,4,,2024-12-11 16:02:47+00:00,2024-12-11 16:02:47+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
float,Float,FLT,Derivatives,144145.0478878411,Polygon;Avalanche,0,1,1,0,16,0,16,16,,2023-01-06 14:00:32+00:00,2023-01-06 14:00:32+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
forge,Forge,-,Dexs,4858.53635810115,Evmos,0,1,1,0,20,0,20,20,,2024-07-26 09:21:00+00:00,2024-07-26 09:21:00+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
forteswap,Forteswap,-,Dexs,20418.7158432725,Canto,0,1,1,0,4,0,4,4,,2025-03-27 16:14:46+00:00,2025-03-27 16:14:46+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
foundation,Foundation,-,NFT Marketplace,0.0,,0,1,1,0,28,0,28,28,,2024-02-20 18:16:13+00:00,2024-02-20 18:16:13+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
fractional-art,Fractional Art,-,Indexes,98337.87742255072,Ethereum,0,1,1,0,8,0,8,8,,2022-07-05 16:43:26+00:00,2022-07-05 16:43:26+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
frankencoin,Frankencoin,ZCHF,CDP,29188123.156168737,Avalanche;Base;Ethereum;Optimism;Arbitrum;Sonic;Polygon;xDai,0,1,1,0,8,0,8,8,,2023-04-04 15:53:59+00:00,2023-04-04 15:53:59+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
frax,Frax,FRAX,Algo-Stables,61519122.291519135,Ethereum,0,1,1,0,16,0,16,16,,2022-09-19 19:40:56+00:00,2022-09-19 19:40:56+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
fusefi-lending,Fusefi Lending,VOLT,Lending,0.7036140635571464,Fuse,0,1,1,0,1,0,1,1,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
garden,Garden,SEED,Cross Chain Bridge,,,0,1,1,0,4,0,4,4,,2025-09-04 14:52:31+00:00,2025-09-04 14:52:31+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
gauntlet,Gauntlet,-,Risk Curators,1219561702.863748,Ethereum;Base;Katana;Arbitrum;Solana;Unichain;Polygon;Hyperliquid L1,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
geth,GETH,GETH,Liquid Staking,23745352.710527953,Ethereum,0,1,1,0,8,0,8,8,,2023-08-10 13:37:52+00:00,2023-08-10 13:37:52+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
gitcoin,Gitcoin,GTC,Charity Fundraising,0.0,,0,1,1,0,32,0,32,32,,2024-03-20 21:07:27+00:00,2024-03-20 21:07:27+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
gmx-v1-perps,GMX V1 Perps,GMX,Derivatives,4994355.961228697,Avalanche;Arbitrum,0,1,1,0,12,0,12,12,,2023-07-20 09:44:47+00:00,2023-07-20 09:44:47+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
gmx-v2-amm,GMX V2 AMM,GMX,Dexs,,,0,1,1,0,4,0,4,4,,,,,0,0,unknown,,[],[sherlock],[sherlock],[]
gondi-v3,Gondi V3,-,NFT Lending,1927963.0497152272,Ethereum,0,1,1,0,8,0,8,8,,2024-04-04 23:31:12+00:00,2024-04-04 23:31:12+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
goodentry,GoodEntry,-,Derivatives,91025.24170677738,Arbitrum,0,1,1,0,16,0,16,16,,2023-08-31 16:22:18+00:00,2023-08-31 16:22:18+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
gravity-bridge,Gravity Bridge,GRAV,Bridge,22151999.278880432,GravityBridge;Ethereum,0,1,1,0,8,0,8,8,,2021-08-19 00:29:19+00:00,2021-08-19 00:29:19+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
gro,Gro,GRO,Yield,1782531.9861838212,Ethereum;Avalanche,0,1,1,0,8,0,8,8,,2021-06-15 18:57:31+00:00,2021-06-15 18:57:31+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
hashkey-exchange,HashKey Exchange,-,CEX,1704698413.030409,Bitcoin;Ethereum;Solana;Tron;Doge;Avalanche;TON;Litecoin;Optimism;Aptos;Polygon;Arbitrum;Polkadot,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
hats.v1,Hats.V1,-,Bug Bounty,41068.55210480512,Ethereum,0,1,1,0,8,0,8,8,,2023-05-03 22:08:13+00:00,2023-05-03 22:08:13+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
hubble,Hubble,HBB,CDP,2028138.0788898785,Solana,0,1,1,0,8,0,8,8,,2022-02-11 19:18:03+00:00,2022-02-11 19:18:03+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
hubble-exchange,Hubble Exchange,-,Derivatives,80473.91659517982,Avalanche,0,1,1,0,8,0,8,8,,2023-08-14 22:43:23+00:00,2023-08-14 22:43:23+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
illuminate,Illuminate,-,Lending,1143.2602760777452,Ethereum,0,1,1,0,24,0,24,24,,2023-01-31 13:02:20+00:00,2023-01-31 13:02:20+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
index-coop,Index Coop,INDEX,Indexes,26277503.83519347,Ethereum;Arbitrum;Base,0,1,1,0,4,0,4,4,,,,,0,0,unknown,,[],[sherlock],[sherlock],[]
infinit,INFINIT,IN,AI Agents,0.0,Binance;Ethereum;Arbitrum;Base;Optimism;Sonic;Hyperliquid L1;Mantle;Plasma;Berachain,0,1,1,0,1,0,1,1,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
init-capital,INIT Capital,-,Lending,10011855.706274487,Mantle;Blast,0,1,1,0,16,0,16,16,,2024-01-22 14:58:37+00:00,2024-01-22 14:58:37+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
initia,Initia,INIT,Chain,,,0,1,1,0,16,0,16,16,,2025-03-12 20:47:30+00:00,2025-03-12 20:47:30+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
insuredao,InsureDAO,INSURE,Insurance,123780.94910624257,Ethereum;Arbitrum;Astar;Optimism,0,1,1,0,1,0,1,1,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
inverse-finance-firm,Inverse Finance FiRM,INV,CDP,71339284.38498558,Ethereum,0,1,1,0,8,0,8,8,,2022-10-19 15:43:37+00:00,2022-10-19 15:43:37+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
iq,IQ,IQ,Services,0.0,Ethereum,1,1,1,1,16,1,16,17,,2025-04-04 03:10:47+00:00,2025-04-04 03:10:47+00:00,,1,0,other,,[certik],"[code4rena,sherlock]","[certik,code4rena,sherlock]",[certik]
iron-bank,Iron Bank,IB,Lending,6520154.6924911775,Ethereum;Optimism;Avalanche;Fantom,0,1,1,0,8,0,8,8,,2023-07-21 19:50:07+00:00,2023-07-21 19:50:07+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
jojo,JOJO,-,Derivatives,26540.491605341755,Base;Arbitrum;Binance;zkSync Era,0,1,1,0,16,0,16,16,,2024-02-20 19:39:45+00:00,2024-02-20 19:39:45+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
jpegd,JPEG'd,JPGD,NFT Lending,665152.4829556771,Ethereum,0,1,1,0,8,0,8,8,,2022-03-25 00:01:29+00:00,2022-03-25 00:01:29+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
juicebox-v3,Juicebox V3,JBX,Launchpad,322053.33950748807,Ethereum,0,1,1,0,24,0,24,24,,2023-05-04 20:43:45+00:00,2023-05-04 20:43:45+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
jupiter-staked-sol,Jupiter Staked SOL,JUP,Liquid Staking,1238296581.659166,Solana,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
justlend,JustLend,JST,Lending,3805153754.704523,Tron,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
kairos-timeboost,Kairos Timeboost,-,MEV,,,0,1,1,0,8,0,8,8,,2023-05-02 13:07:17+00:00,2023-05-02 13:07:17+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
kelp,Kelp,-,Liquid Restaking,1155806863.1023722,Ethereum;Arbitrum;Base;Zircuit;Scroll;Swellchain;zkSync Era;Blast;Mode;Optimism;Hemi;Linea;Sonic;Berachain;Manta;X Layer,1,1,1,1,8,1,8,9,,2023-11-08 14:25:14+00:00,2023-11-08 14:25:14+00:00,,1,0,other,,[certik],[code4rena],"[certik,code4rena]",[certik]
korbit,Korbit,-,CEX,837260348.4381232,Bitcoin;Ripple;Ethereum,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
krystal,Krystal,-,Liquidity manager,1250029.4851524453,Ethereum;Base;Polygon;Binance;Arbitrum;Solana;Ronin,0,1,1,0,8,0,8,8,,2024-06-17 15:17:59+00:00,2024-06-17 15:17:59+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
kswap,KSwap,-,Dexs,0.1299194190373103,Kava,0,1,1,0,4,0,4,4,,2023-01-06 17:11:10+00:00,2023-01-06 17:11:10+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
kuma-protocol,KUMA Protocol,-,RWA,3018247.433706409,Ethereum;Linea;Polygon;Telos,0,1,1,0,8,0,8,8,,2023-02-15 13:15:43+00:00,2023-02-15 13:15:43+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
kwenta,Kwenta,KWENTA,Derivatives,0.0,,0,1,1,0,8,0,8,8,,2024-05-30 12:33:54+00:00,2024-05-30 12:33:54+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
lavarage,Lavarage,-,Derivatives,1050528.2460692602,Solana,0,1,1,0,4,0,4,4,,2024-04-05 16:39:23+00:00,2024-04-05 16:39:23+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
layerzero,LayerZero,ZRO,Bridge,,,0,1,1,0,8,0,8,8,,2025-10-23 14:22:54+00:00,2025-10-23 14:22:54+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
lens-protocol,Lens Protocol,-,SoFi,,,0,1,1,0,8,0,8,8,,2023-07-11 20:51:49+00:00,2023-07-11 20:51:49+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
liquid-ron,Liquid Ron,-,Liquid Staking,854297.2903317336,Ronin,0,1,1,0,8,0,8,8,,2025-02-25 16:58:04+00:00,2025-02-25 16:58:04+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
livepeer,Livepeer,LPT,Video Infrastructure,,,0,1,1,0,16,0,16,16,,2023-08-25 17:16:15+00:00,2023-08-25 17:16:15+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
lombard-btc.b,Lombard BTC.b,-,Bridge,362103549.32235944,Bitcoin,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
looksrare,LooksRare,LOOKS,NFT Marketplace,0.0,Ethereum,0,1,1,0,24,0,24,24,,2024-02-04 12:38:08+00:00,2024-02-04 12:38:08+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
loop,Loop,-,Leveraged Farming,1182550.690283338,Ethereum;XDC;Scroll;Binance,0,1,1,0,36,0,36,36,,2024-10-09 14:22:00+00:00,2024-10-09 14:22:00+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
lybra-v2,Lybra V2,LBR,CDP,81415.74583088265,Ethereum,0,1,1,0,8,0,8,8,,2023-06-20 19:46:51+00:00,2023-06-20 19:46:51+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
magicsea-lb,MagicSea LB,-,Dexs,1049016.0127323647,IOTA EVM,0,1,1,0,8,0,8,8,,2024-08-30 11:47:12+00:00,2024-08-30 11:47:12+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
maia-dao,Maia DAO,MAIA,Yield,0.0,Metis;Arbitrum,0,1,1,0,16,0,16,16,,2023-09-19 07:40:42+00:00,2023-09-19 07:40:42+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
mantra-dao,MANTRA DAO,OM,Lending,10177.777706091589,Ethereum;Binance;Polygon,0,1,1,0,4,0,4,4,,2024-11-26 18:01:07+00:00,2024-11-26 18:01:07+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
maple,Maple,SYRUP,Lending,3134180258.2332397,Ethereum;Solana,0,1,1,0,24,0,24,24,,2022-03-04 20:47:19+00:00,2022-03-04 20:47:19+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
marginswap,MarginSwap,MFI,Dexs,0.0,Binance;Ethereum;Avalanche;Polygon,0,1,1,0,8,0,8,8,,2021-04-01 21:15:56+00:00,2021-04-01 21:15:56+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
market,Market,-,Lending,-1334.329194935566,Fantom;Polygon,0,1,1,0,8,0,8,8,,2025-04-16 20:19:10+00:00,2025-04-16 20:19:10+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
match-finance,Match Finance,-,Yield Aggregator,7063.86012648356,Ethereum,0,1,1,0,8,0,8,8,,2024-12-29 15:44:09+00:00,2024-12-29 15:44:09+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
mellow,Mellow,-,SoFi,4575.5527412019255,Base,0,1,1,0,28,0,28,28,,2025-08-25 11:22:48+00:00,2025-08-25 11:22:48+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
mento,Mento,MENTO,Algo-Stables,21240132.725797176,Ethereum;Celo;Bitcoin,0,1,1,0,16,0,16,16,,2024-12-04 16:46:36+00:00,2024-12-04 16:46:36+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
merit-circle,Merit Circle,MC,Launchpad,0.0,Ethereum,0,1,1,0,8,0,8,8,,2022-10-27 15:28:17+00:00,2022-10-27 15:28:17+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
merkl,Merkl,ANGLE,Yield,0.0,Ethereum;Polygon;Optimism;Arbitrum;Base;Polygon zkEVM,0,1,1,0,4,0,4,4,,2025-11-24 14:27:15+00:00,2025-11-24 14:27:15+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
meteora-dlmm,Meteora DLMM,MET,Dexs,1283813904.8483655,Solana,0,1,1,0,4,0,4,4,,2025-06-09 13:30:04+00:00,2025-06-09 13:30:04+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
meth-protocol,mETH Protocol,COOK,Liquid Staking,720521972.1458447,Ethereum,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
meth-protocol,mETH Protocol,-,Liquid Restaking,292080451.763821,Ethereum,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
midas-capital,Midas Capital,-,Lending,417533.5549882357,Polygon;Binance;Arbitrum;Moonbeam,0,1,1,0,8,0,8,8,,2024-06-21 11:58:11+00:00,2024-06-21 11:58:11+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
mimboku-aggregator,Mimboku Aggregator,-,DEX Aggregator,,,0,1,1,0,8,0,8,8,,2025-01-29 12:03:48+00:00,2025-01-29 12:03:48+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
mimo-v2,Mimo V2,-,Dexs,3464948.388002506,IoTeX,0,1,1,0,16,0,16,16,,2022-07-27 10:05:32+00:00,2022-07-27 10:05:32+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
mochiswap,MochiSwap,MOCHI,Dexs,88810.33379540264,Binance;Harmony,0,1,1,0,8,0,8,8,,2021-10-07 15:49:31+00:00,2021-10-07 15:49:31+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
moonwell-lending,Moonwell Lending,WELL,Lending,85030384.73496863,Base;Optimism;Moonbeam,0,1,1,0,12,0,12,12,,2025-07-24 17:19:52+00:00,2025-07-24 17:19:52+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
morpheus-swap,Morpheus Swap,PILLS,Dexs,7985.77705850555,Fantom,0,1,1,0,4,0,4,4,,2025-08-12 18:50:02+00:00,2025-08-12 18:50:02+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
mover,Mover,MOVE,Yield,25438.43864921328,Ethereum;Polygon,0,1,1,0,8,0,8,8,,2022-11-23 12:32:39+00:00,2022-11-23 12:32:39+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
munchables,Munchables,-,Farm,0.0,Blast,0,1,1,0,24,0,24,24,,2024-07-20 21:52:22+00:00,2024-07-20 21:52:22+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
mycelium-perpetual-pools,Mycelium Perpetual Pools,MYC,Derivatives,193915.5082848241,Arbitrum,0,1,1,0,8,0,8,8,,2022-10-21 19:35:55+00:00,2022-10-21 19:35:55+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
nami-index,Nami Index,-,Indexes,210187.92615487,Thorchain,0,1,1,0,12,0,12,12,,2023-08-15 13:13:58+00:00,2023-08-15 13:13:58+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
napier,Napier,-,Yield,516847.7409804539,Ethereum;Base;Arbitrum;Sonic;Hyperliquid L1;Polygon;Fraxtal;Binance;Optimism;Mantle;Avalanche,0,1,1,0,16,0,16,16,,2024-06-04 14:51:26+00:00,2024-06-04 14:51:26+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
neo-tokyo,Neo Tokyo,BYTE,Gaming,0.0,Ethereum,0,1,1,0,8,0,8,8,,2023-03-01 07:35:49+00:00,2023-03-01 07:35:49+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
nested,Nested,-,Indexes,189516.4899136505,Binance;Polygon;Optimism;Arbitrum;Ethereum;Avalanche,0,1,1,0,24,0,24,24,,2022-06-08 19:04:32+00:00,2022-06-08 19:04:32+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
nftx,NFTX,NFTX,NFT Marketplace,3473033.0952557484,Ethereum;Arbitrum,0,1,1,0,16,0,16,16,,2021-12-07 22:53:35+00:00,2021-12-07 22:53:35+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
notional-v2,Notional V2,NOTE,Lending,3096346.814779559,Ethereum,0,1,1,0,56,0,56,56,,2023-12-12 17:37:49+00:00,2023-12-12 17:37:49+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
nouns,Nouns,-,Services,0.0,,0,1,1,0,56,0,56,56,,2024-12-18 17:24:49+00:00,2024-12-18 17:24:49+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
nsure,Nsure,NSURE,Insurance,318723.11565257737,Ethereum,0,1,1,0,7,0,7,7,,2021-12-13 17:58:01+00:00,2021-12-13 17:58:01+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
numoen,Numoen,-,Derivatives,35923.61959977717,Arbitrum;Polygon;Celo,0,1,1,0,8,0,8,8,,2023-01-17 15:59:22+00:00,2023-01-17 15:59:22+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
okx,OKX,-,CEX,23099691561.591255,Ethereum;Bitcoin;Solana;Doge;Tron;Litecoin;Ripple;Arbitrum;Aptos;Linea;Optimism;TON;Base;zkSync Era;Scroll;Starknet;Avalanche;Polygon;Polkadot,1,0,1,1,0,1,0,1,,,,,1,0,other,,[certik],[],[certik],[certik]
olympus-finance,Olympus Finance,THERMES,Algo-Stables,0.0,Fantom,0,1,1,0,32,0,32,32,,2024-01-29 13:21:18+00:00,2024-01-29 13:21:18+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
omnidex-perpetuals,OmniDex Perpetuals,CHARM,Derivatives,132.29971016425412,Telos,0,1,1,0,8,0,8,8,,2024-05-09 11:32:28+00:00,2024-05-09 11:32:28+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ondo-global-markets,Ondo Global Markets,ONDO,RWA,436797704.2850246,Ethereum;Binance,0,1,1,0,2,0,2,2,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
ondo-v1-(legacy),Ondo v1 (Legacy),-,Yield,0.0,Ethereum,0,1,1,0,14,0,14,14,,2023-08-28 14:43:11+00:00,2023-08-28 14:43:11+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
onedao-finance,OneDAO Finance,ODAO,Reserve Currency,0.0,Harmony,0,1,1,0,8,0,8,8,,2024-03-27 21:16:56+00:00,2024-03-27 21:16:56+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
ooki,Ooki,OOKI,Lending,27516.32652865551,Ethereum;Binance;Arbitrum;Optimism;Polygon,0,1,1,0,4,0,4,4,,2022-02-11 18:14:27+00:00,2022-02-11 18:14:27+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
open-dollar,Open Dollar,ODG,CDP,9525.942937883428,Arbitrum,0,1,1,0,8,0,8,8,,2023-10-12 10:58:02+00:00,2023-10-12 10:58:02+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
openleverage,OpenLeverage,OLE,Dexs,119911.7120826064,Binance;Ethereum;Kucoin;Arbitrum,0,1,1,0,8,0,8,8,,2021-12-17 14:55:58+00:00,2021-12-17 14:55:58+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
opensea-seaport,Opensea Seaport,-,NFT Marketplace,0.0,,0,1,1,0,8,0,8,8,,2022-05-20 10:37:00+00:00,2022-05-20 10:37:00+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
opensea-v1,OpenSea V1,-,NFT Marketplace,0.0,,0,1,1,0,8,0,8,8,,2022-12-21 14:31:20+00:00,2022-12-21 14:31:20+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
optimism-foundation,Optimism Foundation,OP,Foundation,0.0,,0,1,1,0,24,0,24,24,,2024-06-20 15:44:51+00:00,2024-06-20 15:44:51+00:00,,0,0,unknown,,[],"[code4rena,sherlock]","[code4rena,sherlock]",[]
opus,Opus,-,CDP,486567.6796905008,Starknet,0,1,1,0,8,0,8,8,,2024-01-02 17:41:46+00:00,2024-01-02 17:41:46+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
opyn-convexity,Opyn Convexity,-,Options,757340.4945007913,Ethereum,0,1,1,0,8,0,8,8,,2022-12-14 13:00:07+00:00,2022-12-14 13:00:07+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
ore-protocol,ORE Protocol,ORE,Gamified Mining,,,0,1,1,0,8,0,8,8,,2024-04-18 16:39:42+00:00,2024-04-18 16:39:42+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
paladin-vote,Paladin Vote,PAL,Lending,94613.77116825742,Ethereum,0,1,1,0,16,0,16,16,,2022-10-20 16:39:20+00:00,2022-10-20 16:39:20+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
pancakeswap-amm,PancakeSwap AMM,CAKE,Dexs,1840316932.3080416,Binance;Op_Bnb;Ethereum;Aptos;zkSync Era;Base;Arbitrum;Linea;Polygon zkEVM;Monad,1,0,1,1,0,1,0,1,,,,,1,0,other,88.0,[full],[],[full],[certik]
panoptic-v1,Panoptic V1,-,Options,6965.634741362571,Ethereum;Unichain;Base,0,1,1,0,40,0,40,40,,2025-12-19 18:28:28+00:00,2025-12-19 18:28:28+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
paraspace-ape-staking-v1,ParaSpace APE Staking V1,-,Yield,32921.41104596862,Ethereum,0,1,1,0,8,0,8,8,,2022-11-21 20:07:01+00:00,2022-11-21 20:07:01+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
pareto-credit,Pareto Credit,-,RWA Lending,129618748.2262448,Ethereum;Polygon;Arbitrum;Optimism,0,1,1,0,8,0,8,8,,2025-05-13 10:54:11+00:00,2025-05-13 10:54:11+00:00,,0,0,unknown,,[],[sherlock],[sherlock],[]
particles-money,Particles Money,PARTICLE,Algo-Stables,701.2553138664935,Base,0,1,1,0,12,0,12,12,,2023-12-05 19:28:45+00:00,2023-12-05 19:28:45+00:00,,0,0,unknown,,[],[code4rena],[code4rena],[]
partyswap,PartySwap,PARTY,Dexs,6552.824620754025,Avalanche,0,1,1,0,4,0,4,4,,,,,0,0,unknown,,[],[code4rena],[code4rena],[]
