name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,extra_source,extra_attack_method,extra_loss_usd,extra_protocol,extra_date
Ronin Bridge,3/23/22,Infrastructure,Private Key Compromised (Social Engineering),624000000,Ethereum,TRUE,DeFi Protocol,,4440,,https://roninblockchain.substack.com/p/back-to-building-ronin-security-breach,,,,,,
Superfluid,2/8/22,Protocol Logic,CTX Exploit,8700000,Polygon,FALSE,DeFi Protocol,,693,Solidity,https://rekt.news/superfluid-rekt/,,,,,,
Earning.Farm,8/9/23,Protocol Logic,Reentrancy,540000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/CyversAlerts/status/1689193286420795393,,,,,,
Fortress Loans,5/8/22,Protocol Logic,Governance and Oracle Exploit,3000000,BSC,FALSE,DeFi Protocol,,2177,Solidity,https://rekt.news/fortress-rekt/,,,,,,
Corepound,9/23/25,Rugpull,Drained Contracts,430000,CORE,FALSE,DeFi Protocol,,5952,,https://x.com/coreecosystem/status/1970584860516651113,,,,,,
Venus Core Pool,3/29/25,Protocol Logic,Donation Attack,902000,zkSync Era,FALSE,DeFi Protocol,,212,Solidity,https://x.com/yonikesel/status/1905993100738134408,parent#venus-finance,,,,,
Lodestar V0,12/10/22,Ecosystem,Flashloan Price Oracle Attack,6900000,Arbitrum,FALSE,DeFi Protocol,,2339,Solidity,https://twitter.com/BowTiedPickle/status/1601650177369993216?s=20&t=lv-ruhz34Xz7S_fZVFZj7w,parent#lodestar-finance,,,,,
Ooki,11/5/21,Infrastructure,Private Key Compromised (Phishing),55000000,"Polygon,BSC",FALSE,DeFi Protocol,,197,,https://medium.com/tidal-finance/bzx-incident-report-e36828347a86,,,,,,
LiFi Finance,7/16/24,Protocol Logic,Router Exploit via Infinite Approvals,9730000,"zkSync Era,Linea,Metis",TRUE,DeFi Protocol,,,Solidity,https://x.com/RektHQ/status/1813329331105726812,,,,,,
Holograph,6/13/24,Protocol Logic,Infinite Mint and Dump,6700000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://www.coindesk.com/tech/2024/06/13/hlg-down-over-60-as-exploiter-mints-1-billion-new-tokens/,,,,,,
Growth DeFi,2/9/21,Ecosystem,Flashloan Price Oracle Attack,1300000,Ethereum,FALSE,DeFi Protocol,,159,Solidity,https://rekt.news/the-big-combo/,,,,,,
Loopscale,4/26/25,Protocol Logic,Price Oracle Manipulation,5800000,Solana,FALSE,DeFi Protocol,,,Rust,https://x.com/LoopscaleLabs/status/1916183179469246626,,,,,,
AlphaPo,7/26/23,Infrastructure,Private Key Compromised (Unknown Method),60000000,"Ethereum,Tron",FALSE,CEX,,,,https://rekt.news/alphapo-rekt/,,,,,,
Stake.com,9/4/23,Infrastructure,Private Key Compromised (Unknown Method),41300000,"Ethereum,BSC,Polygon",FALSE,Other,,,,https://twitter.com/web3isgreat/status/1698750534025441678,,,,,,
DeltaPrime,7/23/24,Protocol Logic,,1000000,Arbitrum,FALSE,DeFi Protocol,,2479,Solidity,https://x.com/DeltaPrimeDefi/status/1815536737206026346,,,,,,
Blizz Finance,5/13/22,Infrastructure,Outdated Oracle Exploit,21800000,Avalanche,FALSE,DeFi Protocol,,807,,https://rekt.news/venus-blizz-rekt/,,,,,,
BearnFi,5/17/21,Ecosystem,Flashloan Withdraw Logic Exploit,18000000,BSC,FALSE,DeFi Protocol,,387,,https://peckshield.medium.com/bearn-fi-incident-inconsistent-asset-denomination-between-vault-strategy-9b24b68ab1c0,,,,,,
GMBL.COMPUTER,9/6/23,Protocol Logic,Referral Claims Logic Exploit,815000,Arbitrum,FALSE,DeFi Protocol,,,,https://twitter.com/ImmuneBytes/status/1699338311230214536,,,,,,
GMX V1 Perps,9/18/22,Ecosystem,Price Oracle Attack,565000,Arbitrum,FALSE,DeFi Protocol,,337,Solidity,https://twitter.com/jayantkrish/status/1571893643178569728?s=20&t=O--bs-V1Xnkmzm2JZOdZsw,parent#gmx,,,,,
Grim Finance,12/18/21,Ecosystem,Flashloan Reentrancy Attack,30000000,Fantom,FALSE,DeFi Protocol,,493,Solidity,https://twitter.com/RugDocIO/status/1472293717725913089,,,,,,
Treasure,3/3/22,Protocol Logic,Buy Function Exploit,1400000,Arbitrum,FALSE,DeFi Protocol,,1350,Solidity,https://twitter.com/sniko_/status/1499202361180442627?s=20&t=PmAlFn3y2dhQSStkXyDCDA,,,,,,
Themis Protocol,6/27/23,Ecosystem,Flashloan Price Oracle Attack,370000,Arbitrum,FALSE,DeFi Protocol,,3158,Solidity,https://twitter.com/peckshield/status/1673778002373509121,,,,,,
Allbridge Core,4/2/23,Ecosystem,Flashloan Price Oracle Attack,650000,BSC,TRUE,DeFi Protocol,,3944,,https://allbridge.medium.com/allbridge-core-updates-following-the-relaunch-9f7716eeb5da,parent#allbridge,,,,,
Kronos Research,11/18/23,Infrastructure,API Key unauthorized access,26000000,Ethereum,FALSE,Other,,,,https://twitter.com/ResearchKronos/status/1726013733888041376,,,,,,
Curve DEX,7/30/23,Infrastructure,Vyper Compiler Bug,61700000,Ethereum,FALSE,DeFi Protocol,,3,Vyper,https://twitter.com/spreekaway/status/1685669149911990273,parent#curve-finance,,,,,
Inverse Finance Frontier,4/2/22,Ecosystem,Price Oracle Attack,15600000,Ethereum,FALSE,DeFi Protocol,,338,Solidity,https://twitter.com/FrankResearcher/status/1510239094777032713?s=20&t=RBNXo-6wEDCiBE5a9nO0-Q,parent#inverse-finance,,,,,
Harbor Protocol,8/19/23,,,,Comdex,FALSE,DeFi Protocol,,2388,Rust,https://twitter.com/PeckShieldAlert/status/1692852140199522716,,,,,,
Sturdy V1,6/12/23,Ecosystem,Flashloan Reentrancy Attack,770000,Ethereum,FALSE,DeFi Protocol,,1577,Solidity,https://twitter.com/blocksecteam/status/1668084629654638592,parent#sturdy,,,,,
Heco Bridge,11/22/23,Infrastructure,Private Key Compromised (Unknown Method),86600000,Ethereum,TRUE,DeFi Protocol,,,,https://twitter.com/TheBlock__/status/1727397707843621201,,,,,,
Wise Lending V1,1/12/24,Protocol Logic,Rounding Donation Attack,464000,Ethereum,FALSE,DeFi Protocol,,3491,Solidity,https://twitter.com/spreekaway/status/1745892488127070270,parent#wise-lending,,,,,
Lendf.me,4/19/20,Smart Contract Language,Reentrancy,1200000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://slowmist.medium.com/slowmist-details-of-lendf-me-reentrancy-attack-3e168ab5f2b1,,,,,,
ForceBridge,6/6/25,Protocol Logic,Acces Control Exploit,3900000,Nervos,TRUE,DeFi Protocol,,,Rust,https://x.com/hackenclub/status/1929451310060892202,,,,,,
BtcTurk,8/14/25,Infrastructure,Private Key Compromised,48000000,"Ethereum,Avalanche,Arbitrum,Base,Optimism,Mantle,Polygon",FALSE,CEX,,,Solidity,https://x.com/CyversAlerts/status/1955967877602803929,,,,,,
ElasticSwap,12/13/22,Ecosystem,Price Oracle Attack,854000,"Avalanche,Ethereum",FALSE,DeFi Protocol,520650,1919,,https://twitter.com/ElasticSwap/status/1602582495819694081,,,,,,
Onyx Protocol,11/1/23,Ecosystem,Flashloan Donate Function Logic Exploit,2100000,Ethereum,FALSE,DeFi Protocol,,1631,Solidity,https://twitter.com/decurityhq/status/1719657969925677161,parent#onyx,,,,,
Magpie Protocol,4/23/24,Protocol Logic,Router Exploit,129000,"Ethereum,Polygon,BSC,Blast,Avalanche,Arbitrum,Optimism,Base,zkSync Era,Polygon zkEVM",FALSE,DeFi Protocol,,,Solidity,https://twitter.com/magpieprotocol/status/1782708631126819137,,,,,,
Hundred Finance,4/15/23,Protocol Logic,Flashloan Donate Function Logic Exploit,7000000,Optimism,FALSE,DeFi Protocol,,607,Solidity,https://rekt.news/hundred-rekt2/,,ChainSec,,7000000.0,Hundred Finance,2023-04-15
Hope Finance,2/20/23,Rugpull,Router Exploit,1860000,Arbitrum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/Cointelegraph/status/1627976451814490113,,,,,,
LuBian,12/28/20,Infrastructure,Private Key Compromised (Brute Force),3500000000,Bitcoin,FALSE,Other,,,,https://x.com/arkham/status/1951729790299394113,,,,,,
Mirror,10/8/21,Infrastructure,Outdated Oracle Exploit,2000000,Terra,FALSE,DeFi Protocol,,260,Rust,https://twitter.com/FatManTerra/status/1531365988809293825?s=20&t=o8YSLZ0o7gAdHOxdVeuPcg,,,,,,
Ionic Protocol,2/4/25,Protocol Logic,Fake Collateral Exploit,4000000,Mode,FALSE,DeFi Protocol,,4070,Solidity,https://x.com/CyversAlerts/status/1886829735130407065,,,,,,
Yearn Finance,2/5/21,Ecosystem,Flashloan Price Oracle Attack,11000000,Ethereum,FALSE,DeFi Protocol,,113,Solidity,https://rekt.news/yearn-rekt/,parent#yearn,,,,,
Florence Finance,11/30/23,Infrastructure,Address Poisoning,1450000,Ethereum,FALSE,DeFi Protocol,,3197,Solidity,https://twitter.com/PeckShieldAlert/status/1730045158509727968,,,,,,
Rari Capital,5/8/21,Protocol Logic,Price Oracle Attack,10000000,Ethereum,FALSE,DeFi Protocol,,136,Solidity,https://twitter.com/FrankResearcher/status/1391087260125188099,,ChainSec,,15000000.0,Rari Capital,2021-05-08
dForce,4/19/20,Protocol Logic,Reentrancy,25000000,Ethereum,FALSE,DeFi Protocol,,123,,https://decrypt.co/26033/dforce-lendfme-defi-hack-25m,,ChainSec,,100.0,dForce,2020-04-19
Zabu Finance,9/12/21,Protocol Logic,Flashloan Exploit,3200000,Avalanche,FALSE,DeFi Protocol,,,Solidity,https://www.immunebytes.com/blog/zabu-finance-hack-sep-12-2021-detailed-analysis-report/,,ChainSec,,3200000.0,Zabu Finance,2021-09-12
Magnate Finance,8/25/23,Rugpull,Drained Contracts,6400000,Base,FALSE,DeFi Protocol,,3342,Solidity,https://twitter.com/PeckShieldAlert/status/1694946221788729440,,,,,,
Sentiment,4/4/23,Ecosystem,Flashloan Reentrancy Attack,1000000,Arbitrum,FALSE,DeFi Protocol,900000,2285,Solidity,https://twitter.com/spreekaway/status/1643314142214758410?t=Lsj87_GeYV3YDlVXX4bFHQ&s=19,,,,,,
CrediX,8/4/25,Infrastructure,Private Key Compromised,4500000,Sonic,FALSE,DeFi Protocol,,,Solidity,https://x.com/CyversAlerts/status/1952299850650747079,,,,,,
Bunny,7/16/21,Ecosystem,Flashloan Incentive Rewards Exploit,2400000,BSC,FALSE,DeFi Protocol,,254,Solidity,https://pancakebunny.medium.com/polybunny-post-mortem-compensation-42b5c35ce957,,,,,,
StableMagnet,6/23/21,Rugpull,Drained Contracts and User Wallets,27000000,BSC,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/RugDocIO/status/1407830298251964427?s=20&t=ABcGHyHjFWrkOL8Ya2qfKQ,,,,,,
Agave,3/15/22,Ecosystem,Flashloan Reentrancy Attack,5500000,Gnosis Chain,FALSE,DeFi Protocol,,696,Solidity,https://rekt.news/agave-hundred-rekt/,,,,,,
Atlantis Loans,6/10/23,Rugpull,Access Control Exploit,116000,BSC,FALSE,DeFi Protocol,,745,Solidity,https://twitter.com/peckshield/status/1667624256111276033,,,,,,
Bitrue,4/14/23,Infrastructure,Hot wallet hack,23000000,,FALSE,CEX,,,,https://twitter.com/BTCTN/status/1646915702907973632,,,,,,
PRXVT,1/1/26,Protocol Logic,Sybil Attack with CREATE2 Addresses,97000,Base,FALSE,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/2006653156927889666,,,,,,
Meter,2/6/22,Protocol Logic,Deposit Function Exploit,7700000,Ethereum,TRUE,DeFi Protocol,,,Solidity,https://twitter.com/ishwinder/status/1490227406824685569?s=20&t=_Ypi0s4w213ow0Rdgp4tmw,,ChainSec,,,Meter,2022-02-06
Punk Protocol,8/10/21,Smart Contract Language,Delegatecall Exploit,8950000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,,ChainSec,,10.0,Punk Protocol,2021-08-10
Clipper,12/1/24,Protocol Logic,API Signature Exploit,450000,"Optimism,Base",FALSE,DeFi Protocol,,622,,https://x.com/Clipper_DEX/status/1863263893470003460,,,,,,
Defrost,12/24/22,Rugpull,Oracle Manipulation,6000000,Avalanche,FALSE,DeFi Protocol,6000000,913,Solidity,https://de.fi/blog/exclusive-the-defrost-team-rug-pulled-12m-7m-999b24c13f47,,,,,,
Ambient,10/17/24,Ecosystem,Domain Hijack,,Ethereum,FALSE,DeFi Protocol,,3104,,https://x.com/ambient_finance/status/1846895776116379747,,,,,,
Raydium AMM,12/16/22,Infrastructure,Private Key Compromised (Unknown Method),4400000,Solana,FALSE,DeFi Protocol,,214,Rust,https://twitter.com/osec_io/status/1603763023151509505?s=20&t=_J9Y8NV-o0QeXHtnkyR-4A,parent#raydium,,,,,
Squid Games,11/3/21,Rugpull,Drained Liquidity Pool,3400000,BSC,FALSE,Gaming,,,Solidity,https://x.com/__tricck/status/1455083308702834690,,,,,,
SuperRare,7/28/25,Protocol Logic,updateMerkleRoot Access Control Exploit,730000,Ethereum,FALSE,DeFi Protocol,,3144,Solidity,https://x.com/CertiKAlert/status/1949772114309132363,,,,,,
DMM Bitcoin,5/31/24,Infrastructure,Private Key Compromised (Unknown Method),305000000,Bitcoin,FALSE,CEX,305000000,,,https://x.com/Cointelegraph/status/1796544899606524310,,,,,,
ValueDefi,11/14/20,Ecosystem,Flashloan Price Oracle Attack,7000000,Ethereum,FALSE,DeFi Protocol,,164,Solidity,https://rekt.news/value-defi-rekt/,parent#value-finance,ChainSec,,6000000.0,Value DeFi,2020-11-14
Shido,2/29/24,Protocol Logic,Private Key Compromised,3300000,Ethereum,FALSE,Other,,,Solidity,https://cointelegraph.com/news/shido-token-plummet-attacker-drains-staking-contract,,,,,,
Dexodus Finance,5/26/25,Protocol Logic,Price Manipulation Attack,300000,Base,FALSE,DeFi Protocol,300000,5428,Solidity,https://x.com/hklst4r/status/1927008251045929463,,,,,,
Panoptic V1.1,8/25/25,Protocol Logic,,0,"Base,Unichain,Ethereum",FALSE,DeFi Protocol,,6230,Solidity,https://x.com/Panoptic_xyz/status/1964010635026715015,parent#panoptic,,,,,
dYdX V3,11/18/23,Protocol Logic,Price Manipulation Attack,9000000,Ethereum,FALSE,DeFi Protocol,,144,,https://twitter.com/AntonioMJuliano/status/1725926693440045389,parent#dydx,,,,,
zkFinance,11/11/24,Protocol Logic,Oracle Misconfiguration Exploit,200000,zkSync Era,FALSE,DeFi Protocol,,4798,,https://x.com/spreekaway/status/1856101815995011427,,,,,,
xToken,8/29/21,Ecosystem,Flashloan Price Oracle Attack,4500000,Ethereum,FALSE,DeFi Protocol,,206,Solidity,https://medium.com/xtoken/xsnx-post-mortem-666d35071f38,,,,,,
Typus Perp,10/15/25,Protocol Logic,TLP Contract Exploit,3400000,Sui,FALSE,DeFi Protocol,,6014,Move,https://x.com/TypusFinance/status/1978465485395304778,parent#typus-finance,,,,,
Garden,10/30/25,Protocol Logic,Private Key Compromised,10800000,"Ethereum,Arbitrum,Base,Solana",TRUE,DeFi Protocol,,4086,,https://x.com/QuillAudits_AI/status/1983910001350783316,,,,,,
Roe Finance,1/11/23,Ecosystem,Flashloan Pool Shares Exploit,80000,"Ethereum,Polygon",FALSE,DeFi Protocol,,2357,,https://twitter.com/spreekaway/status/1613205435762495488,,,,,,
Gamma,1/4/24,Protocol Logic,Price Manipulation Attack,4500000,Arbitrum,FALSE,DeFi Protocol,,355,Solidity,https://twitter.com/peckshieldalert/status/1742753372334399513,,,,,,
Ronin Bridge,8/6/24,Protocol Logic,MEV bot manipulation exploit,12000000,Ethereum,TRUE,DeFi Protocol,,4440,Solidity,https://x.com/Ronin_Network/status/1820804772917588339,,,,,,
Omm,1/21/23,Protocol Logic,Redeem Function Exploit,1891000,Icon,FALSE,DeFi Protocol,,546,Java,https://forum.omm.finance/t/omm-exploit-postmortem-january-2023/266,,,,,,
uniBTC,9/26/24,Protocol Logic,Minting Logic Exploit,1700000,Ethereum,FALSE,DeFi Protocol,,4966,Solidity,https://x.com/phtevenstrong/status/1839389432975397017,,,,,,
KiloEx,4/14/25,Protocol Logic,Price Oracle Manipulation,7500000,"BSC,Base,Taiko",FALSE,DeFi Protocol,6750000,3329,Solidity,https://x.com/shoucccc/status/1911862514440376446,,,,,,
Clober Liquidity Vault,12/10/24,Protocol Logic,Reentrancy,500000,Base,FALSE,DeFi Protocol,,5315,,https://x.com/peckshieldalert/status/1866434326596112705,parent#clober,,,,,
Badger DAO,12/2/21,Infrastructure,Cloudflare Key Compromised,120000000,Ethereum,FALSE,DeFi Protocol,,173,,https://badger.com/technical-post-mortem,,ChainSec,,2100000000000.0,BadgerDAO,2021-12-02
Convergence,8/1/24,Protocol Logic,Missing Input Validation,210000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://www.coindesk.com/markets/2024/08/01/defi-protocol-convergence-hacked-cvg-token-plunges-99-on-curve/,,,,,,
Raga Finance,11/22/25,Infrastructure,HyperEVM Delta Neutral Exploit,18500,Hyperliquid L1,FALSE,DeFi Protocol,,,Solidity,https://x.com/ragafinance/status/1994384974049591647,,,,,,
DuelBits,2/13/24,Infrastructure,Private Key Compromised,4600000,Ethereum,FALSE,CEX,,,,https://x.com/CertiKAlert/status/1757681640384381238,,,,,,
Wintermute,6/5/22,Infrastructure,Cross Chain Multisig Deployment Exploit,27600000,Optimism,FALSE,DeFi Protocol,,,,https://banteg.mirror.xyz/iZAsBNL3j_5NIAY2Erav1r7Q4ecc7SC76AfMjyScs34,,,,,,
SharedStake,9/1/23,Protocol Logic,Ownership Override Attack,175000,Ethereum,FALSE,DeFi Protocol,,275,,https://twitter.com/spreekaway/status/1697612239929246022,,,,,,
Mars Perps,12/14/25,Protocol Logic,Thin-Market Skew Exploit,960000,Neutron,FALSE,DeFi Protocol,,5498,Rust,https://x.com/mars_protocol/status/2000283619361800307,parent#mars-protocol,,,,,
Vestra DAO,12/4/24,Protocol Logic,Staking Logic Exploit,500000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/_czepluch/status/1866112404242743590,,,,,,
Indexed Finance,10/14/21,Ecosystem,Flashloan Price Oracle Attack,16000000,Ethereum,FALSE,DeFi Protocol,,188,Solidity,https://ndxfi.medium.com/indexed-attack-post-mortem-b006094f0bdc,,,,,,
Remitano,9/15/23,Infrastructure,Private Key Compromised (Unknown Method),2700000,"Ethereum,Tron,BitcoinCash",FALSE,CEX,,,,https://twitter.com/CyversAlerts/status/1702348063145165016/photo/1,,,,,,
PeopleDAO,3/8/23,Infrastructure,Social Engineering,120000,Ethereum,FALSE,DAO,,,,https://twitter.com/The_PeopleDAO/status/1634518915668668416?s=20,,,,,,
Midas Capital,6/17/23,Protocol Logic,Redeem Rounding Error Exploit,600000,BSC,FALSE,DeFi Protocol,,1925,Solidity,https://twitter.com/peckshield/status/1670148905810403330?s=20,,,,,,
pNetwork,10/4/21,Protocol Logic,Log Spoofing,13000000,"BSC,Bitcoin",TRUE,DeFi Protocol,,,Rust,https://www.halborn.com/blog/post/explained-the-pnetwork-hack-september-2021,,,,,,
Evoq Finance,9/10/25,Infrastructure,Advanced Persistent Threat (APT) attack,420000,BSC,FALSE,DeFi Protocol,,5959,Solidity,https://x.com/Evoq_Finance/status/1965691948939014408,,,,,,
Ribbon,12/12/25,Protocol Logic,Private Key Compromised,2700000,Ethereum,FALSE,DeFi Protocol,,281,Solidity,https://x.com/specteranalyst/status/1999532982411854109,parent#ribbon-finance,,,,,
KuCoin,9/29/20,Infrastructure,Private Key Compromised (Unknown Method),45000000,Ethereum,FALSE,CEX,,2274,,https://rekt.news/epic-hack-homie/,,,,,,
ETHTrustFund,7/22/24,Rugpull,Transferred Treasury to Mixers,2100000,Base,FALSE,DeFi Protocol,,,Solidity,https://cointelegraph.com/news/ethtrustfund-dao-transfers-treasury-apparent-rug-pull,,,,,,
Berally,3/14/25,Infrastructure,Private Key Compromised (Unknown Method),90000,Berachain,FALSE,DeFi Protocol,,,Solidity,https://x.com/Berally_io/status/1900732333562744870,,,,,,
Unibot,10/31/23,Protocol Logic,Token approval exploit,640000,Ethereum,FALSE,DeFi Protocol,,3106,Solidity,https://twitter.com/peckshield/status/1719223437024284978,,,,,,
Cork V1,5/28/25,Protocol Logic,Access control bypass via hook,12000000,Ethereum,FALSE,DeFi Protocol,,6262,Solidity,https://x.com/CyversAlerts/status/1927701403092316254,,,,,,
Safemoon,3/28/23,Protocol Logic,Access Control Exploit,8900000,BSC,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/MoonMark_/status/1640844732082290688?s=20,,,,,,
PolyNetwork,8/12/24,Protocol Logic,Reentrancy,5000000,PolyNetwork,TRUE,DeFi Protocol,,,Solidity,https://medium.com/flamingo-finance/poly-network-bridge-exploit-and-the-asset-support-initiative-c80c636255bb,,,,,,
FTX,11/12/22,Infrastructure,Private Key Compromised (Unknown Method),450000000,"Ethereum,Solana",FALSE,CEX,,,,https://twitter.com/zachxbt/status/1591475246250733568?s=20&t=jbwCEhQZKfWFnLPtCwErAg,,,,,,
OKX NFT Aggregator,6/20/24,Protocol Logic,Access Control Exploit,14000,BSC,FALSE,CEX,,,Solidity,https://x.com/shoucccc/status/1803973429345030381,,,,,,
KyberSwap Elastic,11/22/23,Protocol Logic,Flashloan Swap Logic Exploit,48000000,"Ethereum,Base,Polygon,Optimism,Arbitrum",FALSE,DeFi Protocol,,2615,Solidity,https://twitter.com/KyberNetwork/status/1727475235342217682,parent#kyberswap,,,,,
Zunami Protocol,8/13/23,Ecosystem,Price Manipulation Attack,2100000,Ethereum,FALSE,DeFi Protocol,,1201,Solidity,https://twitter.com/decryptmedia/status/1690946389323157504,,,,,,
Balancer V2,11/3/25,Protocol Logic,Composable Stable Pools Exploit,128000000,"Ethereum,Arbitrum,Base,Polygon,Sonic,Optimism",FALSE,DeFi Protocol,,2611,Solidity,https://x.com/lookonchain/status/1985258890863501820,parent#balancer,,,,,
Rodeo,7/4/23,Protocol Logic,Mint Reserves Logic Exploit,90000,Arbitrum,FALSE,DeFi Protocol,,2841,Solidity,https://twitter.com/Phalcon_xyz/status/1676511696603729921?s=20,,,,,,
Coincheck,1/26/18,Infrastructure,Private Key Compromised (Unknown Method),534000000,NEM,FALSE,CEX,,,,https://www.bbc.com/news/world-asia-42845505,,,,,,
Parity Multisig,11/9/17,Protocol Logic,Contract not initialized,150000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://blog.openzeppelin.com/on-the-parity-wallet-multisig-hack-405a8c12e8f7,,,,,,
Local Traders,5/24/23,Protocol Logic,Access Control Exploit,118000,BSC,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/BeosinAlert/status/1661210668291489794,,,,,,
Sonne Finance,5/15/24,Ecosystem,Flashloan Donate Function Logic Exploit,20000000,Optimism,FALSE,DeFi Protocol,,2142,Solidity,https://medium.com/@SonneFinance/post-mortem-sonne-finance-exploit-12f3daa82b06,,,,,,
