slug_clean,n_contracts,pct_contracts_with_high,pct_contracts_with_highmed,mean_alerts_highmed,p90_alerts_highmed,p99_alerts_highmed,pct_access_control_authz,pct_arithmetic_precision,pct_erc20_token_safety,pct_ether_handling,pct_init_state_shadowing,pct_logic_sanity,pct_lowlevel_delegatecall,pct_other,pct_randomness,pct_reentrancy
01,87,45.98,88.51,4.827586206896552,8.800000000000011,21.600000000000023,0.0,9.2,5.75,37.93,4.6,45.98,0.0,0.0,0.0,10.34
5ire-dapp-staking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accumulated-finance-lending,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alephium-bridge,1,0.0,100.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
angle,4,0.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
apechainstake,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aquabank,1,0.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
arbicheems,4,25.0,25.0,1.25,3.500000000000001,4.849999999999999,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
archon-bridge,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aura,5,20.0,60.0,2.4,6.4,9.64,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0
avatr,1,100.0,100.0,12.0,12.0,12.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
avaware,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bacondao,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baklava-space,2,50.0,100.0,3.5,4.7,4.97,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
blex,2,100.0,100.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
bridgekek,1,100.0,100.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
bunny,7,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
cap,8,75.0,100.0,6.25,9.3,9.93,0.0,75.0,12.5,0.0,50.0,25.0,0.0,0.0,12.5,62.5
chainport,3,0.0,33.33,0.3333333333333333,0.8,0.98,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0
chaintools,2,50.0,100.0,3.5,5.5,5.95,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0
civfund,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conic-finance,1,0.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
crvusd,7,0.0,100.0,6.285714285714286,8.0,8.0,0.0,71.43,0.0,0.0,71.43,28.57,0.0,0.0,0.0,0.0
dam-finance,1,100.0,100.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davos-protocol,4,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
definer,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
dotoracle,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
empyreal,3,100.0,100.0,10.666666666666666,14.4,14.94,0.0,66.67,66.67,33.33,66.67,33.33,33.33,0.0,0.0,66.67
equito-finance,1,100.0,100.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebot,3,66.67,100.0,3.6666666666666665,5.4,5.9399999999999995,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,100.0
foom,1,0.0,100.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frankencoin,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gnd-protocol,1,100.0,100.0,11.0,11.0,11.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
gogocoin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grassland-finance,2,0.0,50.0,7.5,13.5,14.85,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
gravity-bridge,2,50.0,100.0,6.0,7.6,7.96,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gro,1,100.0,100.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
hodltree,2,100.0,100.0,5.5,9.1,9.91,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
infinitypools,2,0.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
iotube,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keel-finance,3,66.67,100.0,3.6666666666666665,6.2,6.92,0.0,33.33,100.0,0.0,0.0,33.33,0.0,0.0,33.33,0.0
kimberlite,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
lemma,5,80.0,80.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
liondex,2,0.0,50.0,0.5,0.9,0.99,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
lynx,1,100.0,100.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
midas-capital,4,100.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
ooki,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optidoge,3,100.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
prepo,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
primex-finance,6,66.67,66.67,5.5,9.0,9.0,0.0,50.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0
purefi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qidao,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rabbitx,4,50.0,100.0,5.5,9.0,9.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0
radiate-protocol,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
reservoir-protocol,7,28.57,100.0,4.0,9.0,9.0,0.0,28.57,0.0,71.43,0.0,71.43,0.0,0.0,0.0,0.0
rezerve-lending,2,0.0,100.0,2.0,2.0,2.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
seneca,1,0.0,100.0,10.0,10.0,10.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
sentiment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sphere-finance,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
swirllend,1,0.0,100.0,11.0,11.0,11.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
tarot,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea-fi,1,0.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
tigris,2,0.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
toros,6,33.33,100.0,4.0,10.0,10.0,0.0,0.0,0.0,66.67,0.0,33.33,0.0,0.0,0.0,0.0
tribe3,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
unamano,1,100.0,100.0,22.0,22.0,22.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
unifarm,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
unknown,1223,42.66,87.85,5.047308319738988,10.0,24.75,0.16,15.58,8.24,39.97,6.28,43.39,0.73,0.08,2.12,15.91
vaultka,14,92.86,100.0,9.571428571428571,10.0,10.0,0.0,7.14,0.0,0.0,0.0,100.0,0.0,0.0,0.0,7.14
vee-finance,6,66.67,100.0,28.666666666666668,31.0,32.8,0.0,100.0,100.0,0.0,100.0,0.0,66.67,0.0,0.0,100.0
vela-exchange,2,100.0,100.0,9.5,9.9,9.99,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
volmex,6,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
wavesbridge,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc,2,50.0,100.0,5.0,8.2,8.92,0.0,50.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,50.0
wompie,2,0.0,100.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
woofi-earn,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrapped,1,100.0,100.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
xlsd,2,50.0,50.0,7.0,12.6,13.86,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
zarban,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zebradao,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
