protocol_id,match_key
parent#impermax-finance,parent#impermax-finance
parent#dao-maker,parent#dao-maker
parent#euler,parent#euler
parent#orion-protocol,parent#orion-protocol
parent#abracadabra,parent#abracadabra
parent#level-finance,parent#level-finance
parent#pump,parent#pump
parent#value-finance,parent#value-finance
parent#yearn,parent#yearn
parent#mango-markets,parent#mango-markets
parent#kinto,parent#kinto
parent#kyberswap,parent#kyberswap
parent#radiant,parent#radiant
parent#venus-finance,parent#venus-finance
parent#lodestar-finance,parent#lodestar-finance
parent#gmx,parent#gmx
parent#allbridge,parent#allbridge
parent#curve-finance,parent#curve-finance
parent#inverse-finance,parent#inverse-finance
parent#sturdy,parent#sturdy
parent#wise-lending,parent#wise-lending
parent#onyx,parent#onyx
parent#raydium,parent#raydium
parent#panoptic,parent#panoptic
parent#dydx,parent#dydx
parent#typus-finance,parent#typus-finance
parent#clober,parent#clober
parent#mars-protocol,parent#mars-protocol
parent#ribbon-finance,parent#ribbon-finance
parent#balancer,parent#balancer
parent#moonwell,parent#moonwell
parent#cream-finance,parent#cream-finance
parent#woofi,parent#woofi
parent#prisma,parent#prisma
parent#compound-finance,parent#compound-finance
parent#hector-network,parent#hector-network
parent#velocore,parent#velocore
parent#magpie-ecosystem,parent#magpie-ecosystem
parent#nemo,parent#nemo
parent#unilend,parent#unilend
parent#nirvana,parent#nirvana
parent#paraluni,parent#paraluni
parent#cozy-finance,parent#cozy-finance
parent#zklend-finance,parent#zklend-finance
parent#save-protocol,parent#save-protocol
parent#thala-labs,parent#thala-labs
parent#dodo,parent#dodo
parent#beanstalk,parent#beanstalk
parent#bunni,parent#bunni
parent#mm-finance,parent#mm-finance
parent#tropykus-finance,parent#tropykus-finance
parent#the-arena,parent#the-arena
parent#tenderize,parent#tenderize
parent#pando,parent#pando
parent#zoth,parent#zoth
parent#cetus,parent#cetus
parent#dfx-finance,parent#dfx-finance
parent#arcadia-finance,parent#arcadia-finance
parent#temple-dao,parent#temple-dao
defillama#1336,defillama#1336
defillama#1074,defillama#1074
defillama#203,defillama#203
defillama#1201,defillama#1201
parent#impermax-finance,defillama#5981
parent#dao-maker,defillama#921
defillama#5174,defillama#5174
defillama#591,defillama#591
defillama#206,defillama#206
defillama#4859,defillama#4859
defillama#412,defillama#412
defillama#424,defillama#424
defillama#6611,defillama#6611
defillama#202,defillama#202
defillama#1682,defillama#1682
defillama#1378,defillama#1378
parent#euler,defillama#1183
defillama#5793,defillama#5793
parent#orion-protocol,defillama#496
defillama#3371,defillama#3371
parent#abracadabra,defillama#347
defillama#1387,defillama#1387
parent#level-finance,defillama#2395
defillama#204,defillama#204
defillama#2382,defillama#2382
defillama#4574,defillama#4574
defillama#6597,defillama#6597
parent#pump,defillama#4449
defillama#4152,defillama#4152
defillama#5706,defillama#5706
parent#value-finance,defillama#164
defillama#2616,defillama#2616
defillama#1295,defillama#1295
defillama#742,defillama#742
defillama#4241,defillama#4241
defillama#112,defillama#112
parent#yearn,defillama#3973
parent#mango-markets,defillama#286
defillama#2972,defillama#2972
defillama#2249,defillama#2249
defillama#197,defillama#197
defillama#2697,defillama#2697
defillama#1541,defillama#1541
defillama#489,defillama#489
defillama#228,defillama#228
defillama#165,defillama#165
defillama#3422,defillama#3422
parent#kinto,defillama#4336
parent#kyberswap,defillama#127
defillama#2385,defillama#2385
defillama#585,defillama#585
defillama#516,defillama#516
defillama#4095,defillama#4095
defillama#1115,defillama#1115
defillama#401,defillama#401
defillama#948,defillama#948
defillama#6298,defillama#6298
parent#radiant,defillama#2706
defillama#1925,defillama#1925
defillama#5109,defillama#5109
defillama#2517,defillama#2517
defillama#4369,defillama#4369
defillama#4440,defillama#4440
defillama#693,defillama#693
defillama#2177,defillama#2177
defillama#5952,defillama#5952
parent#venus-finance,defillama#212
parent#lodestar-finance,defillama#2339
defillama#159,defillama#159
defillama#2479,defillama#2479
defillama#807,defillama#807
defillama#387,defillama#387
parent#gmx,defillama#337
defillama#493,defillama#493
defillama#1350,defillama#1350
defillama#3158,defillama#3158
parent#allbridge,defillama#3944
parent#curve-finance,defillama#3
parent#inverse-finance,defillama#338
defillama#2388,defillama#2388
parent#sturdy,defillama#1577
parent#wise-lending,defillama#3491
defillama#1919,defillama#1919
parent#onyx,defillama#1631
defillama#607,defillama#607
defillama#260,defillama#260
defillama#4070,defillama#4070
parent#yearn,defillama#113
defillama#3197,defillama#3197
defillama#136,defillama#136
defillama#123,defillama#123
defillama#3342,defillama#3342
defillama#2285,defillama#2285
defillama#254,defillama#254
defillama#696,defillama#696
defillama#745,defillama#745
defillama#622,defillama#622
defillama#913,defillama#913
defillama#3104,defillama#3104
parent#raydium,defillama#214
defillama#3144,defillama#3144
defillama#5428,defillama#5428
parent#panoptic,defillama#6230
parent#dydx,defillama#144
defillama#4798,defillama#4798
parent#typus-finance,defillama#6014
defillama#4086,defillama#4086
defillama#2357,defillama#2357
defillama#355,defillama#355
defillama#546,defillama#546
defillama#4966,defillama#4966
defillama#3329,defillama#3329
parent#clober,defillama#5315
defillama#173,defillama#173
defillama#275,defillama#275
parent#mars-protocol,defillama#5498
defillama#188,defillama#188
defillama#5959,defillama#5959
parent#ribbon-finance,defillama#281
defillama#2274,defillama#2274
defillama#3106,defillama#3106
defillama#6262,defillama#6262
parent#kyberswap,defillama#2615
parent#balancer,defillama#2611
defillama#2841,defillama#2841
defillama#2142,defillama#2142
parent#moonwell,defillama#1853
defillama#278,defillama#278
parent#cream-finance,defillama#121
defillama#2273,defillama#2273
parent#woofi,defillama#1461
parent#prisma,defillama#3473
defillama#4547,defillama#4547
defillama#380,defillama#380
parent#compound-finance,defillama#114
defillama#4137,defillama#4137
parent#hector-network,defillama#2761
defillama#6876,defillama#6876
defillama#672,defillama#672
defillama#370,defillama#370
parent#velocore,defillama#3330
defillama#6040,defillama#6040
defillama#1981,defillama#1981
parent#magpie-ecosystem,defillama#3083
parent#nemo,defillama#6313
defillama#4042,defillama#4042
defillama#1282,defillama#1282
defillama#2295,defillama#2295
parent#unilend,defillama#4288
defillama#793,defillama#793
parent#nirvana,defillama#1825
defillama#4882,defillama#4882
parent#paraluni,defillama#1520
parent#cozy-finance,defillama#2964
parent#zklend-finance,defillama#3079
defillama#1796,defillama#1796
defillama#4808,defillama#4808
defillama#2314,defillama#2314
defillama#310,defillama#310
defillama#2286,defillama#2286
parent#save-protocol,defillama#458
defillama#400,defillama#400
defillama#601,defillama#601
parent#thala-labs,defillama#2795
defillama#3068,defillama#3068
defillama#4677,defillama#4677
defillama#2746,defillama#2746
defillama#3336,defillama#3336
parent#dodo,defillama#146
defillama#2477,defillama#2477
parent#beanstalk,defillama#631
defillama#134,defillama#134
defillama#547,defillama#547
defillama#126,defillama#126
defillama#1511,defillama#1511
parent#bunni,defillama#5734
defillama#1891,defillama#1891
defillama#1864,defillama#1864
defillama#4100,defillama#4100
parent#mm-finance,defillama#1028
defillama#830,defillama#830
parent#tropykus-finance,defillama#1464
parent#the-arena,defillama#3564
defillama#2369,defillama#2369
defillama#1412,defillama#1412
parent#tenderize,defillama#4085
parent#pando,defillama#2204
defillama#2745,defillama#2745
defillama#2862,defillama#2862
defillama#4452,defillama#4452
defillama#189,defillama#189
defillama#583,defillama#583
defillama#1466,defillama#1466
parent#onyx,defillama#5180
defillama#2111,defillama#2111
defillama#1246,defillama#1246
defillama#889,defillama#889
defillama#1614,defillama#1614
defillama#3474,defillama#3474
defillama#5842,defillama#5842
defillama#6071,defillama#6071
defillama#944,defillama#944
defillama#3314,defillama#3314
parent#zoth,defillama#5615
defillama#6104,defillama#6104
parent#cetus,defillama#2289
defillama#2575,defillama#2575
defillama#2346,defillama#2346
defillama#619,defillama#619
defillama#859,defillama#859
defillama#2903,defillama#2903
parent#dfx-finance,defillama#366
defillama#2849,defillama#2849
defillama#3279,defillama#3279
parent#arcadia-finance,defillama#3210
defillama#1841,defillama#1841
parent#arcadia-finance,defillama#4455
defillama#2143,defillama#2143
defillama#636,defillama#636
defillama#5963,defillama#5963
defillama#2587,defillama#2587
defillama#876,defillama#876
defillama#1099,defillama#1099
defillama#5577,defillama#5577
parent#temple-dao,defillama#875
name#super-sushi-samurai,name#super-sushi-samurai
defillama#1336,name#unizen
defillama#1074,name#autoshark
defillama#203,name#siren
name#mangofarmsol,name#mangofarmsol
name#myalgo,name#myalgo
defillama#1201,name#zunami-protocol
parent#impermax-finance,name#impermax-v3
parent#dao-maker,name#dao-maker-vesting
name#m2-exchange,name#m2-exchange
name#upcx,name#upcx
defillama#5174,name#four-meme
defillama#591,name#multichain
name#kannagi,name#kannagi
defillama#206,name#xtoken
defillama#4859,name#bingx
defillama#412,name#thorchain-dex
defillama#424,name#safe-dollar
defillama#6611,name#betterbank
name#grand-base,name#grand-base
name#fixedfloat,name#fixedfloat
defillama#202,name#saddle-finance
defillama#1682,name#nomad
defillama#1378,name#elephant-money
parent#euler,name#euler-v1
defillama#5793,name#unleash-protocol
parent#orion-protocol,name#orion-pools
name#dimo,name#dimo
defillama#3371,name#locus-finance
parent#abracadabra,name#abracadabra-spell
defillama#1387,name#deus-finance
parent#level-finance,name#level-perps
name#coinspot,name#coinspot
defillama#204,name#alchemix
name#peapods-finance,name#peapods-finance
name#gala,name#gala
name#curio,name#curio
defillama#2382,name#tender-finance
defillama#4574,name#rivus-dao
defillama#6597,name#hypervault
parent#pump,name#pump-fun
defillama#4152,name#polter-finance
defillama#5706,name#sirio-finance
parent#value-finance,name#valuedefi
defillama#2616,name#conic-finance
defillama#1295,name#burgerswap
defillama#742,name#furucombo
name#jaypegs-automart,name#jaypegs-automart
defillama#4241,name#lava
name#nobitex,name#nobitex
name#hedgey,name#hedgey
defillama#112,name#harvest-finance
parent#yearn,name#yearn-ether
name#hedera,name#hedera
name#poloniex,name#poloniex
name#leadblock-s-morpho-blue-market,name#leadblock-s-morpho-blue-market
name#vesper-finance,name#vesper-finance
parent#mango-markets,name#mango-markets-v3
name#truflation,name#truflation
name#sudorare,name#sudorare
defillama#2972,name#steadefi
name#crypto-com,name#crypto-com
name#0g-labs,name#0g-labs
defillama#2249,name#dexible-v2
defillama#197,name#ooki
defillama#2697,name#bond-protocol
defillama#1541,name#portal
defillama#489,name#moola-market
defillama#228,name#futureswap
defillama#165,name#cover-protocol
name#port3-network,name#port3-network
name#nowswap,name#nowswap
name#xbridge,name#xbridge
name#bns,name#bns
name#coinex,name#coinex
name#zksync,name#zksync
defillama#3422,name#orange-finance
name#tapioca-dao,name#tapioca-dao
parent#kinto,name#kinto-bridge
parent#kyberswap,name#kyberswap-classic
name#skyward-finance,name#skyward-finance
defillama#2385,name#exactly
name#upbit,name#upbit
defillama#585,name#popsicle-finance
defillama#516,name#qubit
name#bald,name#bald
name#odin-fun,name#odin-fun
defillama#4095,name#ocelotdex
defillama#1115,name#tectonic
defillama#401,name#aperocket
defillama#948,name#monox
defillama#6298,name#hyperdrive-hl
parent#radiant,name#radiant-v2
name#sbi-crypto,name#sbi-crypto
name#olaxbt,name#olaxbt
name#easyfi,name#easyfi
name#binance-bridge,name#binance-bridge
defillama#1925,name#midas-capital
defillama#5109,name#dough-finance
defillama#2517,name#paraspace-lending-v1
name#solareum,name#solareum
name#kame-aggregator,name#kame-aggregator
name#cardex,name#cardex
defillama#4369,name#munchables
defillama#4440,name#ronin-bridge
defillama#693,name#superfluid
name#earning-farm,name#earning-farm
defillama#2177,name#fortress-loans
defillama#5952,name#corepound
parent#venus-finance,name#venus-core-pool
parent#lodestar-finance,name#lodestar-v0
name#lifi-finance,name#lifi-finance
name#holograph,name#holograph
defillama#159,name#growth-defi
name#loopscale,name#loopscale
name#alphapo,name#alphapo
name#stake-com,name#stake-com
defillama#2479,name#deltaprime
defillama#807,name#blizz-finance
defillama#387,name#bearnfi
name#gmbl-computer,name#gmbl-computer
parent#gmx,name#gmx-v1-perps
defillama#493,name#grim-finance
defillama#1350,name#treasure
defillama#3158,name#themis-protocol
parent#allbridge,name#allbridge-core
name#kronos-research,name#kronos-research
parent#curve-finance,name#curve-dex
parent#inverse-finance,name#inverse-finance-frontier
defillama#2388,name#harbor-protocol
parent#sturdy,name#sturdy-v1
name#heco-bridge,name#heco-bridge
parent#wise-lending,name#wise-lending-v1
name#lendf-me,name#lendf-me
name#forcebridge,name#forcebridge
name#btcturk,name#btcturk
defillama#1919,name#elasticswap
parent#onyx,name#onyx-protocol
name#magpie-protocol,name#magpie-protocol
defillama#607,name#hundred-finance
name#hope-finance,name#hope-finance
name#lubian,name#lubian
defillama#260,name#mirror
defillama#4070,name#ionic-protocol
parent#yearn,name#yearn-finance
defillama#3197,name#florence-finance
defillama#136,name#rari-capital
defillama#123,name#dforce
name#zabu-finance,name#zabu-finance
defillama#3342,name#magnate-finance
defillama#2285,name#sentiment
name#credix,name#credix
defillama#254,name#bunny
name#stablemagnet,name#stablemagnet
defillama#696,name#agave
defillama#745,name#atlantis-loans
name#bitrue,name#bitrue
name#prxvt,name#prxvt
name#meter,name#meter
name#punk-protocol,name#punk-protocol
defillama#622,name#clipper
defillama#913,name#defrost
defillama#3104,name#ambient
parent#raydium,name#raydium-amm
name#squid-games,name#squid-games
defillama#3144,name#superrare
name#dmm-bitcoin,name#dmm-bitcoin
name#shido,name#shido
defillama#5428,name#dexodus-finance
parent#panoptic,name#panoptic-v1-1
parent#dydx,name#dydx-v3
defillama#4798,name#zkfinance
parent#typus-finance,name#typus-perp
defillama#4086,name#garden
defillama#2357,name#roe-finance
defillama#355,name#gamma
defillama#546,name#omm
defillama#4966,name#unibtc
defillama#3329,name#kiloex
parent#clober,name#clober-liquidity-vault
defillama#173,name#badger-dao
name#convergence,name#convergence
name#raga-finance,name#raga-finance
name#duelbits,name#duelbits
name#wintermute,name#wintermute
defillama#275,name#sharedstake
parent#mars-protocol,name#mars-perps
name#vestra-dao,name#vestra-dao
defillama#188,name#indexed-finance
name#remitano,name#remitano
name#peopledao,name#peopledao
name#pnetwork,name#pnetwork
defillama#5959,name#evoq-finance
parent#ribbon-finance,name#ribbon
defillama#2274,name#kucoin
name#ethtrustfund,name#ethtrustfund
name#berally,name#berally
defillama#3106,name#unibot
defillama#6262,name#cork-v1
name#safemoon,name#safemoon
name#polynetwork,name#polynetwork
name#ftx,name#ftx
name#okx-nft-aggregator,name#okx-nft-aggregator
parent#kyberswap,name#kyberswap-elastic
parent#balancer,name#balancer-v2
defillama#2841,name#rodeo
name#coincheck,name#coincheck
name#parity-multisig,name#parity-multisig
name#local-traders,name#local-traders
defillama#2142,name#sonne-finance
name#atomic-wallet,name#atomic-wallet
name#ascendex,name#ascendex
name#spectral-labs,name#spectral-labs
parent#moonwell,name#moonwell-lending
defillama#278,name#ankr
parent#cream-finance,name#cream-lending
defillama#2273,name#deribit
name#shibarium,name#shibarium
name#kokomo-finance,name#kokomo-finance
name#dexx,name#dexx
parent#woofi,name#woofi-swap
parent#prisma,name#prismalst
name#trinity-wallet,name#trinity-wallet
defillama#4547,name#bittensor
name#bitmart,name#bitmart
defillama#380,name#lendhub
name#paid-network,name#paid-network
parent#compound-finance,name#compound-v2
name#coinbase,name#coinbase
name#terra-2-0,name#terra-2-0
name#bungee,name#bungee
defillama#4137,name#seneca
name#ola-finance,name#ola-finance
parent#hector-network,name#hector-lending
name#numa,name#numa
defillama#6876,name#sharwa-finance
name#meerkat-finance,name#meerkat-finance
name#geniusai,name#geniusai
defillama#672,name#fegex
defillama#370,name#merlin
name#bondly,name#bondly
parent#velocore,name#velocore-v2
name#dragoma,name#dragoma
defillama#6040,name#uxlink
defillama#1981,name#orbit-bridge
parent#magpie-ecosystem,name#penpie
parent#nemo,name#nemo-yield-trading
name#alpha-finance,name#alpha-finance
name#bitget,name#bitget
name#coinspaid,name#coinspaid
defillama#4042,name#coindcx
name#rain,name#rain
name#us-government-crypto-wallet,name#us-government-crypto-wallet
defillama#1282,name#rubic
defillama#2295,name#swissborg
name#bitcoin-mission,name#bitcoin-mission
name#okx-dex,name#okx-dex
name#surgebnb,name#surgebnb
parent#unilend,name#unilend-v2
defillama#793,name#cashio
name#the-dao,name#the-dao
parent#nirvana,name#nirvana-v1
defillama#4882,name#usual
parent#paraluni,name#paraluni-masterchef
name#coindash,name#coindash
parent#cozy-finance,name#cozy-v2
parent#zklend-finance,name#zklend
defillama#1796,name#poly-network
name#xt-exchange,name#xt-exchange
defillama#4808,name#rho-markets
name#griffinai,name#griffinai
name#turtle-dex,name#turtle-dex
defillama#2314,name#gate
name#monoswap,name#monoswap
defillama#310,name#belt-finance
name#texture,name#texture
name#arbix-finance,name#arbix-finance
defillama#2286,name#bybit
parent#save-protocol,name#save
defillama#400,name#amun
name#gana-payment,name#gana-payment
name#roll,name#roll
defillama#601,name#warp-protocol
parent#thala-labs,name#thalaswap
defillama#3068,name#raft
defillama#4677,name#kalax
name#mscst,name#mscst
defillama#2746,name#eralend
defillama#3336,name#banana-gun
name#acala-network,name#acala-network
name#mobius-token,name#mobius-token
parent#dodo,name#dodo-amm
defillama#2477,name#bonqdao
parent#beanstalk,name#beanstalk
defillama#134,name#pickle
name#minterest,name#minterest
defillama#547,name#pnetwork
defillama#126,name#loopring
defillama#1511,name#seedify
name#dego-finance,name#dego-finance
parent#bunni,name#bunni-v2
defillama#1891,name#blur-finance
defillama#1864,name#team-finance
name#eminence,name#eminence
defillama#4100,name#pike
name#moonhacker,name#moonhacker
name#nexera,name#nexera
name#infini,name#infini
parent#mm-finance,name#mm-finance-cronos
defillama#830,name#revest-finance
parent#tropykus-finance,name#tropykus-rsk
parent#the-arena,name#arena-socialfi
defillama#2369,name#phemex
name#blueberry,name#blueberry
defillama#1412,name#crema-finance
name#azukidao,name#azukidao
parent#tenderize,name#tenderize-v2
parent#pando,name#pando-rings
name#mixin-network,name#mixin-network
name#fantasm-finance,name#fantasm-finance
defillama#2745,name#leetswap
name#astera-fi,name#astera-fi
name#hegic-old-contract,name#hegic-old-contract
defillama#2862,name#hyperliquid
defillama#4452,name#moby
defillama#189,name#1inch
defillama#583,name#eleven-finance
name#cheesebank,name#cheesebank
name#vulcan-forged,name#vulcan-forged
name#slope-wallet,name#slope-wallet
defillama#1466,name#alex
parent#onyx,name#onyx-v2
defillama#2111,name#uwu-lend
defillama#1246,name#spartan
name#huobi,name#huobi
name#402bridge,name#402bridge
defillama#889,name#8ightdao
defillama#1614,name#0vix
name#sunray-finance,name#sunray-finance
defillama#3474,name#levana-perps
name#astrid-finance,name#astrid-finance
defillama#5842,name#sir
name#sushiswap,name#sushiswap
name#riskonblast,name#riskonblast
name#jimbos-protocol,name#jimbos-protocol
name#bent-finance,name#bent-finance
defillama#6071,name#lnd
defillama#944,name#platypus-finance
defillama#3314,name#rocketswap-base
parent#zoth,name#zoth-zeusd
defillama#6104,name#flow
name#levyathan,name#levyathan
parent#cetus,name#cetus-clmm
name#uranium-finance,name#uranium-finance
defillama#2575,name#cypher
defillama#2346,name#woo-x
name#chainswap,name#chainswap
name#dolomite,name#dolomite
name#coinstats,name#coinstats
name#dogwiftools,name#dogwiftools
name#harmony-bridge,name#harmony-bridge
name#btc24h,name#btc24h
defillama#619,name#vee-finance
name#uwerx,name#uwerx
name#wazirx-india,name#wazirx-india
name#gdac,name#gdac
name#yolo-games,name#yolo-games
defillama#859,name#snowdog
defillama#2903,name#swaprum
name#hacken-token,name#hacken-token
name#gym-network,name#gym-network
name#platypus-finance,name#platypus-finance
name#maestro,name#maestro
name#us-permissionless-dollar,name#us-permissionless-dollar
name#indodax,name#indodax
name#akropolis,name#akropolis
name#origin-protocol,name#origin-protocol
parent#dfx-finance,name#dfx-v2
defillama#2849,name#merlin-dex
name#transit-swap,name#transit-swap
name#wxeta,name#wxeta
defillama#3279,name#palmswap
name#htx,name#htx
parent#arcadia-finance,name#arcadia-v1
defillama#1841,name#ratio-finance
name#gempad,name#gempad
name#compounder-finance,name#compounder-finance
name#lcx,name#lcx
name#silo-finance,name#silo-finance
name#anubisdao,name#anubisdao
parent#arcadia-finance,name#arcadia-v2
name#sovryn,name#sovryn
defillama#2143,name#zircon-gamma
defillama#636,name#keep3r-network
defillama#5963,name#resupply
name#concentric,name#concentric
defillama#2587,name#arbiswap
defillama#876,name#yield-protocol
name#audius,name#audius
name#launchzone,name#launchzone
defillama#1099,name#ara-finance
defillama#5577,name#trust-wallet
parent#temple-dao,name#templedao
